pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406,4,-4,0,,,,,,,,,,,,,591.16084,15.89142,-15.89142,0,1.86,0.05,-0.05,0,Msini,0.33,0.05,-0.05,0,,,,,,,,,0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564,,,0,0.2,0,0,0,0.48,,,0,,,,,,5.51,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,4/19/22,2022-04,4/19/22
KIC 10001893 b,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,1,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.2197,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500,200,-500,0,,,,,,,,,,,,,,5.35,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m33.42s,287.3892308,+46d59m04.02s,46.9844491,1672.94,149.7,-149.7,15.829,0.15,-0.15,16.612,,,15.7109,0.000974,-0.000974,10/3/14,2014-10,10/3/14
KIC 10001893 c,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,1,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.32528,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500,200,-500,0,,,,,,,,,,,,,,5.35,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m33.42s,287.3892308,+46d59m04.02s,46.9844491,1672.94,149.7,-149.7,15.829,0.15,-0.15,16.612,,,15.7109,0.000974,-0.000974,10/3/14,2014-10,10/3/14
KIC 10001893 d,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,1,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.81161,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500,200,-500,0,,,,,,,,,,,,,,5.35,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m33.42s,287.3892308,+46d59m04.02s,46.9844491,1672.94,149.7,-149.7,15.829,0.15,-0.15,16.612,,,15.7109,0.000974,-0.000974,10/3/14,2014-10,10/3/14
KIC 10068024 b,KIC 10068024,1,1,1,Orbital Brightness Modulation,2021,Kepler,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,2.073549,0.000008,-0.000177,0,,,,,,,,,,,,,635.65681,127.13136,-127.13136,0,2,0.4,-0.4,0,Msini,,,,,,,,,,,,,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,,6118.4,127.2,-121.2,0,1.57,0.53,-0.37,0,1.22,0.17,-0.14,0,0.01,0.153,-0.174,0,[Fe/H],4.09,0.18,-0.2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m23.29s,288.8470423,+47d01m22.30s,47.0228607,721.105,,,13.144,0.092,-0.092,11.83,0.026,-0.026,13.1059,0.000372,-0.000372,8/10/21,2021-10,8/10/21
KIC 10525077 b,KIC 10525077,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,854.083,0.01628,-0.01697,0,,,,,5.5,0.9,-0.8,0,0.491,0.08,-0.071,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6091,164,-213,0,1.01,0.1,-0.1,0,1.01,0.12,-0.12,0,-0.04,0.22,-0.3,0,[Fe/H],4.42,0.06,-0.3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m30.75s,287.3781164,+47d46m16.15s,47.7711541,1461.15,56,-52.1,15.592,0.115,-0.115,13.754,0.046,-0.046,15.3043,0.000404,-0.000404,12/24/15,2015-12,1/5/16
KIC 3558849 b,KIC 3558849,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,1322.3,386.1,-11.2,0,,,,,6.9,1,-0.9,0,0.616,0.089,-0.08,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6175,168,-194,0,1.01,0.11,-0.11,0,0.98,0.11,-0.11,0,-0.42,0.28,-0.3,0,[Fe/H],4.44,0.07,-0.27,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m47.96s,294.9498381,+38d36m18.67s,38.6051867,1215.7,34.2,-32.41,14.32,0.114,-0.114,12.767,0.027,-0.027,14.1674,0.000258,-0.000258,12/24/15,2015-12,1/5/16
KIC 5095269 b,KIC 5095269,1,2,1,Eclipse Timing Variations,2017,Kepler,Published Confirmed,0,<a refstr=GETLEY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.2932G/abstract target=ref>Getley et al. 2017</a>,237.68977,0.08237,-0.08237,0,0.8,0.005,-0.005,0,,,,,,,,,2445.06619,17.16282,-17.16282,0,7.693,0.054,-0.054,0,Mass,0.0603,0.0021,-0.0021,0,,,,,,,,,0,<a refstr=GETLEY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.2932G/abstract target=ref>Getley et al. 2017</a>,F7 V,,,,,,,,,1.21,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h22m12.47s,290.5519537,+40d14m06.16s,40.2350445,1188.54,21.12,-21.12,13.595,0.103,-0.103,12.215,0.024,-0.024,13.4394,0.000215,-0.000215,12/2/19,2017-07,12/5/19
KIC 5437945 b,KIC 5437945,1,1,2,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,440.7813,0.00563,-0.00577,0,,,,,6.4,1.6,-1.6,0,0.571,0.143,-0.143,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6340,176,-199,0,1.24,0.29,-0.29,0,1.07,0.17,-0.17,0,-0.38,0.28,-0.3,0,[Fe/H],4.16,0.22,-0.25,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.01,27.92,-27.92,13.834,0.114,-0.114,12.367,0.027,-0.027,13.7506,0.00029,-0.00029,12/24/15,2015-12,1/5/16
KIC 5479689 b,KIC 5479689,1,1,1,Orbital Brightness Modulation,2021,Kepler,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,1.701531,0.000008,-0.000419,0,,,,,,,,,,,,,158.9142,127.13136,-31.78284,0,0.5,0.4,-0.1,0,Msini,,,,,,,,,,,,,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,,5459.1,90,-85.2,0,0.89,0.02,-0.02,0,0.97,0.03,-0.04,0,0.161,0.116,-0.115,0,[Fe/H],4.52,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m18.12s,299.3254983,+40d38m17.24s,40.6381229,454.95,4.617,-4.617,13.929,0.114,-0.114,11.937,0.018,-0.018,13.7459,0.000281,-0.000281,8/10/21,2021-10,8/10/21
KIC 5951458 b,KIC 5951458,1,2,1,Transit,2015,Kepler,Published Confirmed,1,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,1320.1,12401.8,-152.5,0,,,,,6.6,26.3,-4.2,0,0.589,2.346,-0.375,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6258,170,-183,0,1.52,0.82,-0.82,0,0.98,0.21,-0.21,0,-0.5,0.3,-0.3,0,[Fe/H],4.08,0.28,-0.23,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m57.99s,288.9916218,+41d13m23.05s,41.2230683,742.688,12.475,-12.076,12.836,0.092,-0.092,11.324,0.02,-0.02,12.6884,0.000195,-0.000195,12/24/15,2015-12,1/5/16
